Journal,Abbreviation,Index Type,Subject,Impact Factor,JCR-zone,ISSN,Rank
Miscelanea de Estudios Arabes y Hebraicos-Seccion Arabe-Islam,MISC ESTUD ARABES HE,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1696-5868,20884
Nietzsche-Studien,NIETZSCHE-STUD,ESCI,PHILOSOPHY,0.1,N/A,0342-1422,20884
OPERA QUARTERLY,OPERA QUART,AHCI,MUSIC,0.1,N/A,0736-0053,20884
PhiloSOPHIA-A Journal of Continental Feminism,PHILOSOPHIA-J CONT F,ESCI,PHILOSOPHY,0.1,N/A,2155-0891,20884
Pravni Vjesnik,PRAV VJESN,ESCI,LAW,0.1,Q4,0352-5317,20884
REVER-Revista de Estudos da Religiao,REVER,ESCI,RELIGION,0.1,N/A,1677-1222,20884
Revista Biblica,REV BIBLICA,ESCI,RELIGION,0.1,N/A,0034-7078,20884
Studies in Comics,STUD COMICS,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2040-3232,20884
Teologia,TEOLOGIA,ESCI,RELIGION,0.1,N/A,0328-1396,20884
Tort Law Review,TORT LAW REV,ESCI,LAW,0.1,Q4,1039-3285,20884
ZEITSCHRIFT FUR GESCHICHTSWISSENSCHAFT,Z GESCHICHTSWISS,AHCI,HISTORY,0.1,Q3,0044-2828,20884
ANTHROPOLOGIE-INTERNATIONAL JOURNAL OF HUMAN DIVERSITY AND EVOLUTION,ANTHROPOL-INT J HUM,ESCI,ANTHROPOLOGY,0.1,Q4,0323-1119,20884
Aportes-Revista de Historia Contemporanea,APORTES,ESCI,HISTORY,0.1,Q3,0213-5868,20884
Dialog so Vremenem-Dialogue with Time,DIALOG VREM,ESCI,HISTORY,0.1,Q3,2073-7564,20884
English Studies at NBU,ENGL STUD NBU,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,2367-5705,20884
Espacio Tiempo y Forma Serie VII-Historia del Arte,ESPAC TIEMPO FOR VII,ESCI,ART,0.1,N/A,1130-4715,20884
Feministische Studien,FEMINISTISCHE STUD,SSCI,WOMENS STUDIES,0.1,Q4,0723-5186,20884
